name,institution,course_id
introduction to embedded systems software and development environments,university of colorado boulder,introduction-embedded-systems
personal & family financial planning,university of florida,family-planning
a law student's toolkit,yale university,law-student
introducción a data science: programación estadística con r,universidad nacional autónoma de méxico,intro-data-science-programacion-estadistica-r
"cybersecurity roles, processes & operating system security",ibm,cybersecurity-roles-processes-operating-system-security
computational neuroscience,university of washington,computational-neuroscience
de-mystifying mindfulness,universiteit leiden,mindfulness
smart cities – management of smart urban infrastructures,école polytechnique fédérale de lausanne,smart-cities
getting started with go,"university of california, irvine",golang-getting-started
introduction to economic theories,erasmus university rotterdam,intro-economic-theories
probabilistic graphical models 1: representation,stanford university,probabilistic-graphical-models
the power of microeconomics: economic principles in the real world,"university of california, irvine",principles-of-microeconomics
introduction to personal branding,university of virginia,personal-branding
love as a force for social justice,stanford university,love-social-justice
mathematical thinking in computer science,university of california san diego,what-is-a-proof
introduction to genetics and evolution,duke university,genetics-evolution
основы программирования на python,national research university higher school of economics,python-osnovy-programmirovaniya
improving communication skills,university of pennsylvania,wharton-communication-skills
"introduction to trading, machine learning & gcp",new york institute of finance,introduction-trading-machine-learning-gcp
python programming: a concise introduction,wesleyan university,python-programming-introduction
"the modern world, part two: global history since 1910",university of virginia,modern-world-2
understanding plants - part i: what a plant knows,tel aviv university,plantknows
excel fundamentals for data analysis,macquarie university,excel-data-analysis-fundamentals
finanzas personales,universidad nacional autónoma de méxico,finanzas-personales
english composition i,duke university,english-composition
career 911: your future job in medicine and healthcare,northwestern university,healthcarejobs
introduction to self-driving cars,university of toronto,intro-self-driving-cars
corporate & commercial law i: contracts & employment law,university of illinois at urbana-champaign,corporate-commercial-law-part1
blockchain basics,university at buffalo,blockchain-basics
foundations of business strategy,university of virginia,uva-darden-foundations-business-strategy
introdução à ciência da computação com python parte 1,universidade de são paulo,ciencia-computacao-python-conceitos
stochastic processes,national research university higher school of economics,stochasticprocesses
foundations for big data analysis with sql,cloudera,foundations-big-data-analysis-sql
"innovation through design: think, make, break, repeat",the university of sydney,innovation-through-design
perfect tenses and modals,"university of california, irvine",perfect-tenses-modals
getting started with azure,learnquest,cloud-azure-intro
moralities of everyday life,yale university,moralities
revisão sistemática e meta-análise,universidade estadual de campinas,revisao-sistematica
understanding child development: from synapse to society,utrecht university,child-development
introduction to g suite,google cloud,introduction-g-suite
aprendiendo a aprender: poderosas herramientas mentales con las que podrás dominar temas difíciles (learning how to learn),university of california san diego,aprendiendo-a-aprender
building batch data pipelines on gcp,google cloud,batch-data-pipelines-gcp
financial planning for young adults,university of illinois at urbana-champaign,financial-planning
quantitative methods,university of amsterdam,quantitative-methods
"introduction to self-determination theory: an approach to motivation, development and wellness",university of rochester,self-determination-theory
the technology of music production,berklee college of music,technology-of-music-production
code yourself! an introduction to programming,the university of edinburgh,intro-programming
success,university of pennsylvania,wharton-success
chemicals and health,johns hopkins university,chemicals-health
improving your statistical inferences,eindhoven university of technology,statistical-inferences
fundamentals of finance,university of pennsylvania,finance-fundamentals
how google does machine learning,google cloud,google-machine-learning
object-oriented design,university of alberta,object-oriented-design
introduction to intellectual property,university of pennsylvania,introduction-intellectual-property
cost and economics in pricing strategy,bcg,uva-darden-bcg-pricing-strategy-cost-economics
write a feature length screenplay for film or television,michigan state university,write-a-feature-length-screenplay-for-film-or-television
marketing gerencial,universidad de chile,marketing-gerencial
corporate finance essentials,iese business school,corporate-finance-essentials
information security: context and introduction,"royal holloway, university of london",information-security-data
"anatomy of the chest, abdomen, and pelvis",yale university,trunk-anatomy
introduction to css3,university of michigan,introcss
applied data science capstone,ibm,applied-data-science-capstone
introduction aux droits de l’homme,university of geneva,droits-de-lhomme
"programming languages, part a",university of washington,programming-languages
big history: connecting knowledge,macquarie university,big-history
leadership in 21st century organizations,copenhagen business school,leadership-21st-century
software processes and agile practices,university of alberta,software-processes-and-agile-practices
devops culture and mindset,"university of california, davis",devops-culture-and-mindset
introduction to statistics & data analysis in public health,imperial college london,introduction-statistics-data-analysis-public-health
discrete optimization,the university of melbourne,discrete-optimization
основы разработки на c++: белый пояс,moscow institute of physics and technology,c-plus-plus-white
covid-19 contact tracing for nursing professionals,university of houston,covid-19-contact-tracing-for-nursing-professionals
high stakes leadership: leading in times of crisis,university of michigan,high-stakes-leadership
essential epidemiologic tools for public health practice,johns hopkins university,epidemiology-tools
epigenetic control of gene expression,the university of melbourne,epigenetics
"recruiting, hiring, and onboarding employees",university of minnesota,recruiting-hiring-onboarding-employees
aws fundamentals: addressing security risk,amazon web services,aws-fundamentals-addressing-security-risk
ancient philosophy: plato & his predecessors,university of pennsylvania,plato
becoming a changemaker: introduction to social innovation,university of cape town,social-innovation
spanish for successful communication in healthcare settings,rice university,spanish-in-healthcare-settings
leading transformations: manage change,macquarie university,change-management
introduction to systems engineering,unsw sydney (the university of new south wales),systems-engineering
digital marketing analytics in theory,university of illinois at urbana-champaign,marketing-analytics
data visualization and communication with tableau,duke university,analytics-tableau
bayesian statistics: techniques and models,"university of california, santa cruz",mcmc-bayesian-statistics
human rights for open societies,utrecht university,humanrights
introduction to computers and office productivity software,the hong kong university of science and technology,introduction-to-computers-and-office-productivity-software
the introduction to quantum computing,saint petersburg state university,quantum-computing-algorithms
intercultural management,escp business school,intercultural
get interactive: practical teaching with technology,university of london,getinmooc
international law in action: investigating and prosecuting international crimes,universiteit leiden,international-law-in-action-2
